show_id,creator_id,title,description,genre,tags,cover_image,trailer_url,is_premium,episode_title,episode_description,video_url,thumbnail_url,duration_seconds,founding_50
show001,creator001,First Light,A cinematic short capturing the first moments of dawn in urban landscapes.,Drama,"cinema,art,founding50,dawn","https://storage.vertikal.app/covers/firstlight.jpg","https://storage.vertikal.app/trailers/firstlight.mp4",false,Episode 1: Dawn,The opening sequence.,"https://storage.vertikal.app/videos/firstlight.mp4","https://storage.vertikal.app/thumbnails/firstlight.jpg",180,true
show002,creator002,Urban Flow,Exploring rhythm and movement in city streets through dance.,Docu,"dance,urban,founding50,street","https://storage.vertikal.app/covers/urbanflow.jpg","https://storage.vertikal.app/trailers/urbanflow.mp4",false,Episode 1: Streets,The rhythm of the city.,"https://storage.vertikal.app/videos/urbanflow.mp4","https://storage.vertikal.app/thumbnails/urbanflow.jpg",240,true
show003,creator003,Silent Echo,Minimalist storytelling through silence and subtle gestures.,Drama,"minimalism,story,founding50,silence","https://storage.vertikal.app/covers/silentecho.jpg","https://storage.vertikal.app/trailers/silentecho.mp4",false,Episode 1: Silence,Where words end, meaning begins.,"https://storage.vertikal.app/videos/silentecho.mp4","https://storage.vertikal.app/thumbnails/silentecho.jpg",195,true
show004,creator004,Golden Hour,Portraits of creators during the golden hour of creativity.,Docu,"portrait,creators,founding50,golden","https://storage.vertikal.app/covers/goldenhour.jpg","https://storage.vertikal.app/trailers/goldenhour.mp4",false,Episode 1: Light,The hour when everything glows.,"https://storage.vertikal.app/videos/goldenhour.mp4","https://storage.vertikal.app/thumbnails/goldenhour.jpg",210,true
show005,creator005,Neon Dreams,Cyberpunk aesthetics meet real-world narratives.,Sci-Fi,"cyberpunk,neon,founding50,future","https://storage.vertikal.app/covers/neondreams.jpg","https://storage.vertikal.app/trailers/neondreams.mp4",true,Episode 1: Electric,Where reality meets the future.,"https://storage.vertikal.app/videos/neondreams.mp4","https://storage.vertikal.app/thumbnails/neondreams.jpg",225,true
show006,creator006,Concrete Poetry,Visual poetry in architectural forms.,Art,"architecture,poetry,founding50,concrete","https://storage.vertikal.app/covers/concretepoetry.jpg","https://storage.vertikal.app/trailers/concretepoetry.mp4",false,Episode 1: Forms,Architecture as language.,"https://storage.vertikal.app/videos/concretepoetry.mp4","https://storage.vertikal.app/thumbnails/concretepoetry.jpg",165,true
show007,creator007,Underground Voices,Documenting the underground music scene.,Docu,"music,underground,founding50,scene","https://storage.vertikal.app/covers/undergroundvoices.jpg","https://storage.vertikal.app/trailers/undergroundvoices.mp4",false,Episode 1: Sound,The pulse of the underground.,"https://storage.vertikal.app/videos/undergroundvoices.mp4","https://storage.vertikal.app/thumbnails/undergroundvoices.jpg",270,true
show008,creator008,Black Canvas,Exploring Black identity through visual storytelling.,Drama,"identity,black,founding50,canvas","https://storage.vertikal.app/covers/blackcanvas.jpg","https://storage.vertikal.app/trailers/blackcanvas.mp4",false,Episode 1: Identity,Stories painted on black canvas.,"https://storage.vertikal.app/videos/blackcanvas.mp4","https://storage.vertikal.app/thumbnails/blackcanvas.jpg",300,true
show009,creator009,Digital Nomads,The life of creators who work from anywhere.,Docu,"lifestyle,nomads,founding50,digital","https://storage.vertikal.app/covers/digitalnomads.jpg","https://storage.vertikal.app/trailers/digitalnomads.mp4",false,Episode 1: Freedom,Work from anywhere, create everywhere.,"https://storage.vertikal.app/videos/digitalnomads.mp4","https://storage.vertikal.app/thumbnails/digitalnomads.jpg",255,true
show010,creator010,The Velvet Rope,Exclusive access to the Founding 50 creators.,Docu,"exclusive,founding50,velvet,rope","https://storage.vertikal.app/covers/velvetrope.jpg","https://storage.vertikal.app/trailers/velvetrope.mp4",true,Episode 1: Access,Behind the velvet rope.,"https://storage.vertikal.app/videos/velvetrope.mp4","https://storage.vertikal.app/thumbnails/velvetrope.jpg",180,true

